Time(ms),AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,label
5133,-9.65,1.6,-0.39,0.01,-0.04,0.02,45.48,-23.3,21.56,2
5269,-9.64,1.73,-0.47,0.01,-0.04,0.01,45.18,-22.92,21.31,2
5405,-9.62,1.75,-0.42,0.01,-0.02,-0.0,45.41,-22.86,22.64,2
5541,-9.6,1.69,-0.15,0.01,-0.03,-0.03,45.41,-24.03,21.89,2
5676,-9.62,1.77,-0.29,0.02,-0.04,0.02,45.48,-23.17,22.67,2
5812,-9.63,1.75,-0.32,0.02,-0.06,0.03,46.0,-23.78,22.38,2
5948,-9.6,1.59,-0.35,0.04,-0.05,0.0,45.03,-23.43,21.6,2
6083,-9.7,1.74,-0.49,0.03,-0.03,0.01,45.56,-23.5,20.61,2
6225,-9.56,1.98,-0.53,0.0,-0.03,-0.01,45.56,-23.17,22.64,2
6361,-9.65,1.61,-0.48,0.03,-0.04,0.0,45.02,-23.62,21.08,2
6497,-9.63,1.81,-0.38,0.02,-0.02,-0.02,45.19,-23.82,21.97,2
6632,-9.63,1.81,-0.41,0.0,-0.05,-0.01,45.48,-23.74,21.51,2
6768,-9.67,1.67,-0.45,0.02,-0.05,-0.01,45.51,-23.38,22.33,2
6904,-9.73,1.61,-0.4,0.04,-0.04,0.01,46.05,-23.18,22.89,2
7040,-9.65,1.6,-0.43,0.03,-0.09,0.01,45.69,-23.52,21.91,2
7175,-9.66,1.66,-0.54,0.02,-0.07,-0.01,44.88,-24.28,21.65,2
7316,-9.62,1.73,-0.07,0.01,-0.07,0.02,46.1,-24.22,21.73,2
7452,-9.67,1.39,-0.26,0.0,-0.09,-0.0,45.97,-23.46,20.7,2
7587,-9.66,1.72,-0.77,0.01,-0.02,-0.03,46.7,-23.25,21.34,2
7723,-9.62,1.85,-0.14,0.02,-0.02,0.02,46.19,-23.69,21.43,2
7859,-9.65,1.6,-0.17,-0.01,-0.02,0.02,45.97,-23.6,21.32,2
7995,-9.72,1.81,-0.65,-0.02,-0.04,-0.02,46.08,-23.6,20.96,2
8130,-9.68,1.61,-0.26,0.05,-0.03,0.01,45.73,-23.08,22.41,2
8266,-9.58,1.83,-0.16,-0.01,-0.07,-0.03,46.4,-22.9,21.56,2
8402,-9.66,1.69,-0.31,0.02,-0.06,0.01,46.08,-23.47,21.28,2
8542,-9.6,1.78,-0.25,0.02,-0.07,-0.0,46.04,-23.59,22.23,2
8679,-9.55,1.8,-0.64,0.01,-0.02,-0.0,46.0,-23.41,21.43,2
8815,-9.74,1.8,-0.1,0.01,0.01,-0.02,46.42,-23.69,21.47,2
8951,-9.61,1.92,-0.22,0.0,-0.08,-0.0,46.78,-24.09,21.41,2
9086,-9.57,1.85,-0.48,0.03,-0.06,0.03,46.27,-23.14,20.61,2
9222,-9.71,1.51,-0.51,-0.03,-0.02,-0.02,46.16,-23.68,21.69,2
9358,-9.68,1.8,-0.45,0.02,-0.02,0.02,46.59,-23.18,21.5,2
9494,-9.59,2.0,-0.39,0.02,-0.03,0.02,45.94,-24.03,21.82,2
9629,-9.6,1.89,-0.27,0.01,-0.05,0.02,46.36,-23.66,21.98,2
9770,-9.65,1.72,-0.48,0.0,-0.07,0.01,45.44,-24.03,22.51,2
9906,-9.6,1.83,-0.47,0.02,-0.05,-0.01,45.73,-23.55,21.94,2
10041,-9.65,1.91,-0.18,0.01,-0.02,0.01,46.14,-23.08,21.12,2
10177,-9.71,1.53,-0.39,0.01,-0.08,0.0,45.82,-23.19,22.11,2
10313,-9.62,1.75,-0.51,0.01,-0.03,-0.03,45.94,-23.06,21.43,2
10449,-9.58,1.91,-0.33,-0.01,-0.02,-0.02,46.16,-23.49,22.39,2
10584,-9.59,1.87,-0.23,-0.03,-0.02,-0.01,46.08,-23.72,22.41,2
10720,-9.64,1.77,-0.4,-0.0,-0.05,0.0,45.76,-23.17,22.3,2
10861,-9.6,1.86,-0.37,0.02,-0.04,-0.01,46.0,-23.55,22.22,2
10997,-9.63,1.81,-0.5,0.02,-0.04,-0.01,46.57,-24.04,22.6,2
11132,-9.61,2.02,-0.53,-0.0,-0.01,-0.01,46.46,-23.72,21.76,2
11268,-9.75,1.79,-0.21,0.0,-0.06,0.03,46.29,-24.09,21.85,2
11404,-9.65,1.6,-0.48,0.02,-0.08,0.02,46.2,-24.12,21.97,2
11540,-9.69,1.56,-0.62,0.02,-0.05,-0.0,46.29,-24.42,22.2,2
11675,-9.74,1.63,-0.25,0.01,-0.02,-0.01,46.51,-24.61,21.88,2
11811,-9.59,1.8,-0.28,0.02,-0.06,0.01,46.27,-24.13,22.58,2
11947,-9.65,1.8,-0.4,0.02,-0.05,-0.01,46.67,-24.22,22.57,2
12087,-9.62,1.87,-0.48,0.0,-0.07,-0.02,46.48,-24.52,21.75,2
12223,-9.56,1.6,-0.38,0.04,-0.05,0.01,45.91,-24.0,21.94,2
12359,-9.66,1.76,-0.31,0.06,-0.03,-0.0,46.1,-23.41,20.72,2
12495,-9.57,1.84,-0.29,0.02,-0.04,0.01,46.49,-23.74,22.07,2
12630,-9.58,1.85,-0.27,0.0,-0.04,-0.02,46.65,-23.25,21.86,2
12766,-9.58,1.91,-0.3,0.01,-0.05,-0.0,46.24,-24.19,21.6,2
12902,-9.65,1.76,-0.35,-0.0,-0.02,-0.01,46.43,-23.81,21.29,2
13038,-9.63,1.9,-0.44,0.01,-0.05,-0.02,46.08,-24.33,21.47,2
13173,-9.58,1.79,-0.38,0.01,-0.05,-0.01,45.98,-23.94,21.48,2
13315,-9.57,2.01,-0.24,0.0,-0.02,-0.0,45.76,-24.63,21.15,2
13451,-9.6,1.56,-0.29,0.03,-0.04,-0.01,46.48,-23.57,21.82,2
13586,-9.65,1.75,-0.35,0.01,-0.02,-0.01,45.16,-23.82,22.38,2
