Time(ms),AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ
38297,-0.39,-0.19,9.96,0.01,-0.06,-0.01,17.00,-11.40,20.15
38441,-0.29,0.07,9.82,0.02,-0.05,-0.03,17.00,-11.40,20.15
38584,-0.39,-0.07,10.05,0.02,-0.04,-0.01,17.00,-11.40,20.15
38734,-0.37,-0.14,10.06,0.01,-0.07,-0.02,17.00,-11.40,20.15
38877,-0.39,-0.06,9.73,0.01,-0.06,0.01,17.00,-11.40,20.15
39021,-0.35,-0.15,9.89,0.01,-0.03,0.01,17.00,-11.40,20.15
39165,-0.38,-0.25,10.02,0.01,0.00,-0.02,17.00,-11.40,20.15
39308,-0.35,-0.26,10.04,-0.01,-0.05,-0.03,17.00,-11.40,20.15
39452,-0.42,-0.15,9.97,0.03,-0.08,-0.03,17.00,-11.40,20.15
39595,-0.46,-0.24,10.08,0.00,-0.02,-0.02,17.00,-11.40,20.15
39739,-0.47,-0.23,9.88,0.03,-0.05,0.03,17.00,-11.40,20.15
39888,-0.46,-0.07,9.99,-0.03,-0.03,-0.04,17.00,-11.40,20.15
40032,-0.46,-0.18,9.82,0.01,-0.08,0.01,17.00,-11.40,20.15
40175,-0.48,-0.23,9.88,0.01,-0.03,-0.02,17.00,-11.40,20.15
40319,-0.48,-0.16,9.91,0.00,-0.07,-0.00,17.00,-11.40,20.15
40462,-0.41,-0.18,9.64,-0.01,-0.08,0.01,17.00,-11.40,20.15
40612,-0.36,-0.29,10.05,-0.00,-0.04,0.00,17.00,-11.40,20.15
40761,-0.42,-0.38,10.01,0.03,-0.04,0.03,17.00,-11.40,20.15
40905,-0.40,-0.30,9.74,-0.05,-0.08,-0.08,17.00,-11.40,20.15
41048,-0.29,-0.45,9.75,-0.02,-0.06,0.06,17.00,-11.40,20.15
41198,-0.34,-0.15,9.84,-0.02,-0.04,0.07,17.00,-11.40,20.15
41341,-0.36,-0.64,10.02,-0.01,-0.04,0.01,17.00,-11.40,20.15
41485,-0.44,-0.65,10.02,0.05,-0.03,-0.02,17.00,-11.40,20.15
41628,-0.35,-0.28,9.64,0.03,-0.06,-0.01,17.00,-11.40,20.15
41772,-0.02,0.71,10.42,0.63,-0.35,-0.09,17.00,-11.40,20.15
41916,-0.33,-0.29,9.73,0.06,-0.04,0.01,17.00,-11.40,20.15
42060,-0.36,-0.38,9.86,0.03,-0.06,0.02,17.00,-11.40,20.15
42204,-0.33,-0.27,9.75,0.03,-0.06,-0.03,17.00,-11.40,20.15
42369,-0.29,-0.19,9.94,0.01,-0.05,-0.02,17.00,-11.40,20.15
42512,-0.32,-0.31,9.70,0.01,-0.04,-0.00,17.00,-11.40,20.15
42656,-0.31,-0.28,9.90,0.01,-0.04,-0.01,17.00,-11.40,20.15
42799,-0.25,-0.16,9.85,0.04,-0.05,0.01,17.00,-11.40,20.15
42943,-0.34,-0.17,9.73,0.03,-0.04,0.01,17.00,-11.40,20.15
43087,-0.35,-0.33,9.92,0.02,-0.07,0.01,17.00,-11.40,20.15
43231,-0.27,-0.10,9.72,0.04,-0.07,-0.01,17.00,-11.40,20.15
43375,-0.31,-0.22,9.88,0.02,-0.03,-0.01,17.00,-11.40,20.15
43519,-0.30,-0.24,10.03,0.03,-0.04,0.01,17.00,-11.40,20.15
43668,-0.28,-0.18,9.98,0.02,-0.05,0.00,17.00,-11.40,20.15
43813,-0.31,-0.17,9.93,0.02,-0.05,-0.01,17.00,-11.40,20.15
43957,-0.41,-0.40,9.81,0.04,-0.03,0.01,17.00,-11.40,20.15
44100,-0.29,-0.31,9.89,0.01,-0.05,-0.01,17.00,-11.40,20.15
44245,-0.24,-0.21,9.91,0.00,-0.03,-0.01,17.00,-11.40,20.15
44388,-0.26,-0.19,9.96,-0.01,-0.05,0.02,17.00,-11.40,20.15
44539,-0.32,-0.30,9.92,0.01,-0.05,0.01,17.00,-11.40,20.15
44682,-0.34,-0.33,9.86,0.03,-0.06,-0.01,17.00,-11.40,20.15
44832,-0.27,-0.23,9.97,0.02,-0.05,-0.01,17.00,-11.40,20.15
44975,-0.32,-0.34,10.06,0.02,-0.04,-0.01,17.00,-11.40,20.15
