timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,Unnamed: 10
20.69,-0.053007135575942915,-0.014271151885830785,1.020387359836901,-0.09,-0.11,0.06,39.13,-26.02,-29.42,
20.86,0.02854230377166157,0.010193679918450561,1.0458715596330275,0.22,-0.14,0.2,37.07,-25.68,-29.35,
21.02,0.018348623853211007,-0.11314984709480123,1.020387359836901,-0.11,0.06,0.17,36.07,-24.48,-27.71,
21.18,-0.04383282364933741,-0.05504587155963303,1.0132517838939856,0.01,-0.05,-0.18,35.59,-22.87,-29.66,
21.34,-0.12538226299694188,0.026503567787971458,1.0091743119266054,0.17,0.21,0.09,35.08,-21.84,-30.43,
21.5,-0.06320081549439348,0.10601427115188583,0.9683995922528033,0.65,-0.45,-0.02,33.03,-23.53,-33.88,
21.67,0.022426095820591234,0.2161060142711519,0.9551478083588174,0.26,-0.29,-0.18,30.04,-26.03,-37.09,
21.84,-0.015290519877675839,0.09683995922528031,0.9765545361875637,-0.23,0.32,0.08,31.01,-26.18,-39.83,
22.0,-0.03771661569826707,0.11213047910295618,0.8756371049949031,0.2,0.04,0.26,32.34,-26.62,-41.33,
22.17,-0.06931702344546381,0.2670744138634047,1.0152905198776758,0.02,0.02,0.05,32.94,-27.93,-41.7,
22.33,-0.127420998980632,0.12334352701325177,1.0101936799184505,-0.27,0.31,-0.43,35.79,-26.95,-42.96,
22.49,-0.17329255861365953,0.08154943934760449,0.9755351681957186,0.12,-0.02,-0.0,38.1,-26.6,-42.56,
22.65,-0.03160040774719674,0.040774719673802244,0.9724770642201833,-0.07,-0.12,0.16,38.12,-27.14,-43.69,
22.81,-0.13353720693170235,0.12028542303771661,0.9694189602446482,-0.27,0.47,0.18,39.62,-27.14,-42.43,
22.99,-0.2385321100917431,0.12538226299694188,0.9908256880733946,0.28,-0.11,0.01,42.03,-28.88,-41.65,
23.15,-0.28542303771661565,0.0672782874617737,0.9908256880733946,-0.2,-0.43,0.71,40.56,-29.57,-41.35,
23.31,-0.13251783893985727,0.12640163098878696,0.8562691131498471,0.31,-0.06,0.28,38.41,-28.78,-43.32,
23.48,-0.0856269113149847,0.12334352701325177,0.9887869520897042,0.28,-0.33,-0.04,37.72,-31.86,-42.43,
23.64,-0.10499490316004077,0.13251783893985727,0.8807339449541285,-0.04,-0.1,0.31,35.68,-32.94,-43.19,
23.8,-0.06829765545361875,0.12232415902140671,0.9245667686034659,-0.59,0.38,-0.06,35.3,-32.14,-43.44,
23.96,-0.19877675840978593,-0.03160040774719674,0.9724770642201833,-0.92,0.53,-0.1,37.65,-27.36,-44.34,
24.13,-0.1783893985728848,-0.08154943934760449,0.9969418960244647,-0.03,0.08,0.12,37.55,-27.86,-44.15,
24.3,-0.14271151885830782,0.03160040774719674,1.0632008154943935,0.35,-0.36,-0.54,36.28,-29.19,-43.96,
24.46,-0.12538226299694188,0.04281345565749235,1.021406727828746,0.24,-0.27,-0.4,34.29,-30.24,-44.55,
24.62,-0.03160040774719674,0.0856269113149847,1.0805300713557593,-0.27,-0.22,0.35,33.86,-29.52,-44.68,
24.78,-0.08154943934760449,0.014271151885830785,0.9877675840978593,0.03,-0.03,-0.17,32.8,-29.48,-45.89,
24.95,-0.07441386340468908,0.07951070336391437,0.8960244648318042,-0.05,0.47,-0.43,34.33,-30.24,-45.09,
25.11,-0.2640163098878695,-0.04383282364933741,0.9755351681957186,-0.16,0.37,-0.67,36.89,-25.15,-44.9,
25.28,-0.20591233435270132,0.17227319062181445,0.9490316004077471,-0.36,-0.76,-0.21,36.73,-29.17,-44.55,
25.44,-0.011213047910295617,0.04994903160040774,1.0489296636085625,0.3,-0.47,-0.71,33.54,-29.03,-45.45,
25.6,-0.04383282364933741,0.12232415902140671,0.9255861365953109,0.0,0.06,-0.34,32.72,-27.36,-47.06,
25.77,-0.10397553516819572,0.03261977573904179,1.001019367991845,-0.79,0.51,-0.57,33.91,-23.94,-46.55,
25.93,-0.013251783893985729,-0.022426095820591234,0.8328236493374107,-0.29,0.41,-0.39,37.17,-17.01,-45.0,
26.09,-0.09174311926605504,-0.08766564729867482,1.143730886850153,0.47,0.19,-1.02,36.32,-17.25,-46.42,
26.26,0.0254841997961264,-0.145769622833843,0.9755351681957186,0.11,0.28,0.7,33.84,-17.63,-46.07,
26.44,-0.12232415902140671,0.04383282364933741,0.9857288481141692,-0.31,-0.21,-0.09,35.81,-17.76,-44.99,
26.6,-0.26299694189602446,-0.03771661569826707,0.9500509683995922,0.64,0.29,0.12,37.62,-19.77,-44.18,
26.76,-0.07441386340468908,0.07135575942915391,1.0601427115188582,-0.55,-0.03,0.55,39.02,-19.48,-42.82,
26.93,-0.1182466870540265,-0.109072375127421,1.017329255861366,0.01,-0.33,0.06,37.47,-19.69,-43.19,
27.09,-0.07135575942915391,-0.03873598369011213,0.9867482161060142,0.16,-0.25,0.15,36.93,-19.82,-42.47,
27.25,-0.0254841997961264,0.03771661569826707,1.0326197757390418,-0.13,-0.12,-0.07,36.19,-19.82,-41.8,
27.42,-0.08868501529051988,-0.07951070336391437,0.9938837920489296,0.08,-0.02,0.16,36.89,-19.66,-41.2,
27.59,-0.07849133537206932,-0.12844036697247707,1.0234454638124362,-0.27,-0.02,0.25,37.84,-18.9,-40.57,
27.75,-0.09683995922528031,-0.09378185524974515,1.017329255861366,-0.04,-0.04,0.03,37.74,-19.34,-39.18,
27.92,-0.09072375127421,-0.18246687054026503,1.038735983690112,-0.04,-0.14,-0.64,38.25,-18.05,-38.35,
28.08,-0.03363914373088685,-0.15698267074413863,1.0244648318042813,0.06,0.12,0.58,38.13,-18.97,-36.06,
28.25,-0.040774719673802244,-0.16106014271151886,1.0122324159021405,-0.03,0.0,-0.1,38.75,-20.34,-35.02,
28.41,-0.04791029561671763,-0.17227319062181445,1.0346585117227318,0.04,0.07,-0.11,39.24,-20.21,-33.79,
28.57,-0.12945973496432212,-0.19571865443425074,1.017329255861366,0.01,0.04,0.26,39.92,-21.08,-33.31,
28.74,-0.10397553516819572,-0.12436289500509683,1.039755351681957,0.03,-0.02,0.44,39.9,-22.22,-33.22,
28.91,-0.13353720693170235,-0.07033639143730885,1.0305810397553516,0.22,0.04,0.19,40.03,-23.57,-32.04,
29.07,-0.1916411824668705,-0.09683995922528031,1.0061162079510702,0.07,-0.03,0.26,40.6,-23.98,-31.47,
29.24,-0.11009174311926606,-0.07543323139653414,0.9531090723751273,0.3,-0.08,0.01,40.57,-25.52,-30.68,
29.4,-0.1019367991845056,-0.03771661569826707,1.0132517838939856,0.2,-0.05,-0.07,39.7,-26.19,-30.14,
29.56,-0.1182466870540265,-0.041794087665647295,0.9918450560652395,-0.07,0.0,0.13,39.8,-25.77,-29.61,
29.72,-0.10499490316004077,-0.04791029561671763,0.9908256880733946,0.11,0.18,0.39,39.52,-25.52,-28.09,
29.9,-0.2110091743119266,-0.04587155963302752,1.0142711518858307,-0.09,0.04,0.14,39.61,-23.88,-27.64,
30.06,-0.19775739041794085,-0.08766564729867482,1.0152905198776758,-0.02,-0.0,0.27,38.99,-24.58,-26.56,
30.22,-0.1182466870540265,-0.08664627930682976,1.037716615698267,0.13,-0.3,0.31,37.65,-24.83,-27.14,
30.39,-0.08256880733944955,0.003058103975535168,0.9806320081549438,0.11,-0.02,0.26,35.46,-25.9,-29.45,
30.55,-0.14169215086646278,0.007135575942915392,0.9908256880733946,-0.02,-0.16,0.14,35.37,-25.65,-30.2,
30.71,-0.0856269113149847,0.12640163098878696,1.0091743119266054,-0.3,-0.32,-0.44,33.32,-26.1,-33.48,
30.88,-0.039755351681957186,0.09683995922528031,1.0254841997961264,-0.02,-0.16,-0.33,31.92,-24.85,-35.87,
31.05,-0.11518858307849132,0.016309887869520895,1.0591233435270133,-0.44,0.09,0.01,32.11,-24.17,-38.21,
31.21,-0.11620795107033638,0.010193679918450561,1.0591233435270133,-0.14,0.19,-0.02,32.9,-23.14,-41.08,
31.38,-0.11926605504587155,0.03873598369011213,1.0601427115188582,0.4,0.06,0.14,35.52,-24.17,-42.11,
31.54,-0.022426095820591234,0.0509683995922528,0.9949031600407746,0.68,-1.32,-0.41,33.73,-28.35,-44.53,
31.7,-0.006116207951070336,0.08664627930682976,0.9449541284403669,0.03,0.42,0.03,32.18,-29.87,-44.65,
31.87,-0.02854230377166157,0.041794087665647295,0.9806320081549438,-0.59,0.23,0.08,34.83,-27.89,-44.77,
32.03,-0.12232415902140671,0.10703363914373089,0.9765545361875637,-0.31,0.21,0.75,36.03,-27.96,-45.13,
32.2,-0.014271151885830785,0.09378185524974515,0.9663608562691132,0.29,-0.43,0.64,32.99,-31.09,-44.74,
32.37,-0.009174311926605503,-0.013251783893985729,0.8990825688073394,-0.48,0.03,0.37,30.68,-29.55,-46.45,
32.53,-0.024464831804281342,0.020387359836901122,0.9877675840978593,0.24,-0.35,-0.07,28.57,-29.07,-47.3,
32.69,-0.04587155963302752,0.05810397553516819,1.021406727828746,-0.98,0.96,-0.42,29.95,-26.94,-47.63,
32.86,-0.1182466870540265,-0.0856269113149847,0.8980632008154944,-0.62,0.59,-1.26,36.12,-21.73,-45.32,
33.02,-0.14780835881753313,-0.18858307849133538,1.0081549439347604,0.32,-0.25,-0.93,35.46,-19.03,-46.67,
33.18,-0.03160040774719674,-0.006116207951070336,0.9388379204892967,-0.51,-0.18,-0.94,35.88,-18.8,-46.96,
33.36,-0.07849133537206932,-0.08766564729867482,1.016309887869521,0.08,0.12,-0.31,34.33,-23.27,-46.92,
33.52,0.06422018348623854,0.0050968399592252805,0.8797145769622834,0.69,-0.26,-0.37,33.31,-25.86,-47.06,
33.68,-0.1182466870540265,0.0509683995922528,0.9887869520897042,0.11,-0.52,-0.14,30.85,-26.24,-47.81,
33.85,0.09174311926605504,0.07849133537206932,0.888888888888889,-0.53,0.02,-0.66,31.22,-25.58,-48.76,
34.01,-0.007135575942915392,0.04587155963302752,0.9724770642201833,-0.4,-0.25,-0.29,32.34,-23.46,-48.2,
34.17,-0.11213047910295618,0.026503567787971458,1.022426095820591,0.24,-0.36,0.13,33.89,-22.41,-47.78,
34.34,-0.10397553516819572,-0.05810397553516819,0.9490316004077471,-0.03,-0.36,0.29,34.01,-21.65,-47.65,
34.51,-0.06320081549439348,-0.020387359836901122,0.9867482161060142,-0.22,-0.33,0.08,33.46,-20.45,-48.07,
34.67,0.041794087665647295,-0.035677879714576956,1.0,0.02,-0.09,-0.04,33.34,-18.59,-46.43,
34.84,-0.05810397553516819,-0.07543323139653414,0.9653414882772681,0.16,0.34,0.57,34.16,-19.99,-46.26,
35.0,-0.07135575942915391,-0.12436289500509683,0.9704383282364932,-0.42,0.3,-0.1,36.82,-18.72,-44.3,
35.16,-0.05708460754332314,-0.09378185524974515,1.0295616717635065,0.06,-0.54,0.07,35.71,-16.65,-44.86,
35.33,0.021406727828746176,-0.22324159021406725,1.036697247706422,-0.24,-0.34,0.83,34.08,-17.25,-44.3,
35.49,0.07033639143730885,-0.15086646279306828,1.016309887869521,-0.06,-0.21,-0.02,33.16,-18.37,-43.92,
35.66,0.03261977573904179,-0.14475025484199794,1.0061162079510702,0.02,0.25,0.05,33.7,-19.15,-41.8,
35.83,-0.026503567787971458,-0.06931702344546381,1.0101936799184505,-0.5,0.18,-0.5,36.61,-18.42,-39.94,
36.0,-0.060142711518858305,-0.18348623853211007,1.0254841997961264,-0.06,0.07,0.11,37.46,-18.11,-39.26,
36.16,-0.05810397553516819,-0.2528032619775739,0.9898063200815495,0.1,0.15,-0.07,38.48,-18.4,-37.81,
36.32,-0.0927624872579001,-0.20285423037716616,1.017329255861366,0.19,-0.14,0.03,39.62,-20.18,-35.21,
36.49,-0.09582059123343525,-0.1906218144750255,0.9938837920489296,-0.01,0.18,-0.01,39.51,-22.07,-35.03,
36.65,-0.12538226299694188,-0.1651376146788991,1.0438328236493373,-0.14,-0.16,0.17,39.8,-22.46,-34.67,
36.82,-0.12945973496432212,-0.15902140672782875,1.0081549439347604,0.22,-0.14,0.01,39.55,-23.71,-33.95,
36.99,-0.03873598369011213,-0.19877675840978593,1.003058103975535,0.13,-0.21,0.03,38.66,-24.31,-33.31,
37.15,-0.008154943934760447,-0.09785932721712537,1.036697247706422,-0.14,-0.31,0.41,38.03,-27.86,-31.85,
37.31,-0.05810397553516819,-0.05912334352701325,1.0407747196738022,-0.27,-0.04,-0.11,38.66,-26.89,-31.07,
37.47,-0.013251783893985729,-0.11518858307849132,1.0091743119266054,0.1,-0.1,0.13,37.55,-27.13,-30.53,
37.64,-0.003058103975535168,-0.06931702344546381,1.018348623853211,0.07,-0.17,0.26,35.79,-28.4,-29.41,
37.8,-0.008154943934760447,-0.06218144750254841,1.0509683995922527,-0.13,0.34,0.27,36.54,-28.78,-29.96,
37.97,-0.06523955147808358,-0.024464831804281342,1.0,0.28,0.04,0.52,35.95,-27.83,-28.69,
38.14,-0.109072375127421,-0.035677879714576956,0.9887869520897042,0.11,-0.13,-0.01,34.98,-27.49,-30.33,
38.3,-0.11213047910295618,-0.05708460754332314,1.036697247706422,-0.08,0.04,0.37,34.22,-26.79,-31.04,
38.46,-0.03669724770642201,0.048929663608562685,1.037716615698267,0.18,-0.48,-0.33,31.6,-27.13,-32.18,
38.63,-0.07339449541284403,0.035677879714576956,1.0897043832823647,-0.46,0.48,0.19,30.59,-24.6,-35.33,
38.79,-0.14780835881753313,0.017329255861365953,1.0479102956167174,-0.2,0.13,-0.19,32.24,-23.22,-39.96,
38.95,-0.08868501529051988,0.04587155963302752,0.9643221202854231,0.37,-0.11,-0.15,33.38,-26.0,-42.27,
39.13,-0.0509683995922528,0.06625891946992864,1.0081549439347604,0.31,0.32,0.51,34.87,-27.36,-43.54,
39.29,-0.05912334352701325,-0.04587155963302752,1.033639143730887,-0.11,0.44,0.49,37.31,-26.12,-44.5,
39.45,-0.16717635066258918,-0.19775739041794085,0.9510703363914372,0.3,0.06,0.38,39.32,-27.14,-44.17,
39.62,-0.11620795107033638,0.18246687054026503,0.9133537206931702,0.83,-0.26,0.37,36.25,-34.77,-43.16,
39.78,-0.16819571865443422,0.23343527013251783,0.8246687054026502,-0.13,0.19,-0.07,37.55,-38.1,-41.42,
39.94,-0.18144750254842,0.14780835881753313,0.8980632008154944,-1.15,0.08,-0.42,39.77,-35.27,-41.64,
40.11,-0.20897043832823647,0.05606523955147809,0.927624872579001,-0.93,-0.34,0.17,36.16,-34.22,-43.58,
40.28,-0.12334352701325177,0.06422018348623854,0.8797145769622834,-0.31,-0.3,-0.45,35.3,-30.17,-44.97,
40.44,-0.14984709480122324,-0.05912334352701325,1.0407747196738022,-0.18,-0.14,-1.0,35.37,-27.46,-45.5,
40.61,-0.09887869520897043,0.02854230377166157,1.0061162079510702,0.21,-0.53,-0.94,35.06,-26.81,-46.35,
